RTP Audio Master [INFO] :: 2024-01-04 17:29:24,446 -> [TCP] Request State from 192.168.178.172
RTP Audio Master [INFO] :: 2024-01-04 17:29:24,449 -> [TCP] 192.168.178.172 is active
RTP Audio Master [INFO] :: 2024-01-04 17:29:24,449 -> [TCP] Close socket
RTP Audio Master [INFO] :: 2024-01-04 17:29:34,442 -> [TCP] Open socket
RTP Audio Master [INFO] :: 2024-01-04 17:29:34,445 -> [TCP] Request State from 192.168.178.172
RTP Audio Master [INFO] :: 2024-01-04 17:29:34,449 -> [TCP] 192.168.178.172 is active
RTP Audio Master [INFO] :: 2024-01-04 17:29:34,449 -> [TCP] Close socket
RTP Audio Master [INFO] :: 2024-01-04 17:29:44,442 -> [TCP] Open socket
RTP Audio Master [INFO] :: 2024-01-04 17:29:44,446 -> [TCP] Request State from 192.168.178.172
RTP Audio Master [INFO] :: 2024-01-04 17:29:44,450 -> [TCP] 192.168.178.172 is active
RTP Audio Master [INFO] :: 2024-01-04 17:29:44,450 -> [TCP] Close socket
RTP Audio Master [INFO] :: 2024-01-04 17:29:54,442 -> [TCP] Open socket
RTP Audio Master [INFO] :: 2024-01-04 17:29:54,445 -> [TCP] Request State from 192.168.178.172
RTP Audio Master [INFO] :: 2024-01-04 17:29:54,449 -> [TCP] 192.168.178.172 is active
RTP Audio Master [INFO] :: 2024-01-04 17:29:54,449 -> [TCP] Close socket
RTP Audio Master [INFO] :: 2024-01-04 17:29:59,126 -> [UDP] Close socket
RTP Audio Master [INFO] :: 2024-01-04 17:30:36,166 -> [UDP] Open socket
RTP Audio Master [INFO] :: 2024-01-04 17:30:39,525 -> [UDP] Received login request from 192.168.178.172
RTP Audio Master [INFO] :: 2024-01-04 17:30:39,530 -> [UDP] Accept login
RTP Audio Master [INFO] :: 2024-01-04 17:30:39,546 -> [UDP] Add 192.168.178.172 to list of Hosts
RTP Audio Master [INFO] :: 2024-01-04 17:30:45,576 -> [UDP] Close socket
RTP Audio Master [INFO] :: 2024-01-04 17:32:40,047 -> [UDP] Open socket
RTP Audio Master [INFO] :: 2024-01-04 17:32:41,597 -> [UDP] Received login request from 192.168.178.172
